Datum,08.04.26
Uhrzeit,09:33:27
[Auftragsdaten]
Pruefauftragsnummer     ,824902015333.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1335
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1340,0.524,2750,1770,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,200,110,310,200,4621242,4613528,4200380,4580856
1,50,1335,0.100,510,380,710,530,4621242,4613528,4200380,4580856
0,50,1340,0.200,1120,870,1100,860,4621242,4613528,4200380,4580856
0,50,1340,0.300,1480,1160,1330,1050,4621242,4613528,4200380,4580856
1,75,1335,0.400,1760,1400,1530,1200,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
08.04.26,09:33:27,A1,IO,1,0,0,0, ,VE1,1918,1515,   0,   0, 434, 573,   0,   0,   0,   0,1636,1316,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:34:30,A1,IO,2,0,0,0, ,VE1,1918,1525,   0,   0, 438, 594,   0,   0,   0,   0,1632,1333,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:38:16,A1,IO,3,0,0,0, ,VE1,1892,1502,   0,   0, 426, 594,   0,   0,   0,   0,1606,1307,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:39:12,A1,IO,4,0,0,0, ,VE1,1969,1515,   0,   0, 470, 593,   0,   0,   0,   0,1679,1314,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:40,A1,NIO,5,0,0,0, ,VE1,1855,1692,   0,   0, 434, 800,   0,   0,   0,   0,1576,1488,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:40:46,A1,NIO,6,0,0,0, ,VE1,1941,1679,   0,   0, 399, 766,   0,   0,   0,   0,1649,1462,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:41:09,A1,NIO,7,0,0,0, ,VE1,1917,1559,   0,   0, 438, 740,   0,   0,   0,   0,1648,1371,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:41:31,A1,IO,8,0,0,0, ,VE1,1911,1604,   0,   0, 439, 670,   0,   0,   0,   0,1616,1389,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:42:05,A1,NIO,9,0,0,0, ,VE1,2000,1686,   0,   0, 429, 790,   0,   0,   0,   0,1706,1485,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:42:19,A1,IO,10,0,0,0, ,VE1,1911,1532,   0,   0, 450, 582,   0,   0,   0,   0,1634,1327,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:42:35,A1,IO,11,0,0,0, ,VE1,1912,1580,   0,   0, 452, 615,   0,   0,   0,   0,1635,1375,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:43:03,A1,IO,12,0,0,0, ,VE1,1871,1479,   0,   0, 395, 561,   0,   0,   0,   0,1593,1282,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:43:16,A1,IO,13,0,0,0, ,VE1,2018,1555,   0,   0, 455, 597,   0,   0,   0,   0,1720,1364,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:43:44,A1,IO,14,0,0,0, ,VE1,1897,1578,   0,   0, 446, 576,   0,   0,   0,   0,1610,1370,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:44:00,A1,IO,15,0,0,0, ,VE1,1841,1577,   0,   0, 416, 611,   0,   0,   0,   0,1562,1379,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:44:25,A1,NIO,16,0,0,0, ,VE1,1959,1620,   0,   0, 428, 725,   0,   0,   0,   0,1665,1409,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:44:45,A1,NIO,17,0,0,0, ,VE1,1797,1682,   0,   0, 423, 783,   0,   0,   0,   0,1533,1475,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:44:59,A1,IO,18,0,0,0, ,VE1,1846,1475,   0,   0, 437, 548,   0,   0,   0,   0,1574,1271,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:45:12,A1,IO,19,0,0,0, ,VE1,1889,1523,   0,   0, 426, 597,   0,   0,   0,   0,1607,1335,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:45:25,A1,IO,20,0,0,0, ,VE1,1906,1495,   0,   0, 443, 574,   0,   0,   0,   0,1623,1305,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:45,A1,NIO,21,0,0,0, ,VE1,1540, 750,   0,   0, 418, 284,   0,   0,   0,   0,1415, 666,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:46:18,A1,NIO,22,0,0,0, ,VE1,1486, 650,   0,   0, 453, 247,   0,   0,   0,   0,1385, 581,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:46:36,A1,IO,23,0,0,0, ,VE1,1867,1548,   0,   0, 421, 594,   0,   0,   0,   0,1571,1349,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:47:38,A1,IO,24,0,0,0, ,VE1,1953,1573,   0,   0, 461, 587,   0,   0,   0,   0,1669,1380,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:48:02,A1,IO,25,0,0,0, ,VE1,1939,1556,   0,   0, 443, 591,   0,   0,   0,   0,1659,1344,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:48:26,A1,NIO,26,0,0,0, ,VE1,1841,1590,   0,   0, 427, 726,   0,   0,   0,   0,1561,1393,   0,   0,   0,   0,   0,   0,   0,   0,
08.04.26,09:48:39,A1,IO,27,0,0,0, ,VE1,1875,1489,   0,   0, 452, 590,   0,   0,   0,   0,1594,1290,   0,   0,   0,   0,   0,   0,   0,   0,
