[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1369,0.524,2750,1770,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,200,110,310,200,4621242,4613528,4200380,4580856
1,50,1335,0.100,510,380,710,530,4621242,4613528,4200380,4580856
0,50,1340,0.200,1120,870,1100,860,4621242,4613528,4200380,4580856
0,50,1340,0.300,1480,1160,1330,1050,4621242,4613528,4200380,4580856
1,75,1335,0.400,1860,1400,1530,1200,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
28.08.26,04:37:28,A1,IO,1,0,0,0, ,VE1,1994,1529,   0,   0, 441, 607,   0,   0,   0,   0,1666,1326,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:38:41,A1,IO,2,0,0,0, ,VE1,2076,1586,   0,   0, 443, 627,   0,   0,   0,   0,1727,1372,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:39:10,A1,NIO,3,0,0,0, ,VE1,1874,1556,   0,   0, 324, 295,   0,   0,   0,   0,1577,1119,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:39:24,A1,IO,4,0,0,0, ,VE1,2173,1632,   0,   0, 452, 632,   0,   0,   0,   0,1774,1449,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:39:40,A1,IO,5,0,0,0, ,VE1,1944,1641,   0,   0, 428, 648,   0,   0,   0,   0,1644,1436,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:39:59,A1,IO,6,0,0,0, ,VE1,2211,1649,   0,   0, 437, 638,   0,   0,   0,   0,1844,1439,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:40:16,A1,IO,7,0,0,0, ,VE1,1969,1665,   0,   0, 466, 661,   0,   0,   0,   0,1646,1468,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:40:41,A1,IO,8,0,0,0, ,VE1,2211,1745,   0,   0, 446, 600,   0,   0,   0,   0,1851,1530,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:40:57,A1,IO,9,0,0,0, ,VE1,1991,1633,   0,   0, 462, 630,   0,   0,   0,   0,1653,1440,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:41:22,A1,IO,10,0,0,0, ,VE1,2101,1645,   0,   0, 466, 664,   0,   0,   0,   0,1705,1450,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:41:38,A1,IO,11,0,0,0, ,VE1,2015,1579,   0,   0, 421, 635,   0,   0,   0,   0,1633,1372,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:42:49,A1,NIO,12,0,0,0, ,VE1,2054,1589,   0,   0, 303, 521,   0,   0,   0,   0,1666,1368,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:43:06,A1,IO,13,0,0,0, ,VE1,2028,1543,   0,   0, 434, 567,   0,   0,   0,   0,1658,1339,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,04:43:21,A1,IO,14,0,0,0, ,VE1,1976,1543,   0,   0, 427, 576,   0,   0,   0,   0,1563,1357,   0,   0,   0,   0,   0,   0,   0,   0,
