Datum,28.08.26
Uhrzeit,06:19:17
[Auftragsdaten]
Pruefauftragsnummer     ,824902015334.mpg
Kommentar1              ,
Kommentar2              ,
Kommentar3              ,
Kommentar4              ,
Fuelldruck              ,
Kunde                   ,renauld
Kundennummer            ,
Typ                     ,
Teilenummer             ,
Fahrzeugachse           ,
VANummer                ,
Ventilbestnummer        ,
Oelsorte                ,
OelfuellmengeCCM        ,
OelfuellmengeG          ,
Montageart              ,
Kennzeichnung           ,
Prueflingstartnummer    ,1
Prueflinganzahl         ,1000
Auswerteverfahren       ,Produktion
Auswertefenster         ,50
Maximalkraft            ,1150
Kolbenstangendurchm     ,25
Pruefer                 ,
Einricht-Teil 1         ,
Einricht-Teil 2         ,
Einricht-Teil 3         ,
Einricht-Teil 4         ,
Einricht-Teil 5         ,
Einricht-Teil 6         ,
Einricht-Teil 7         ,
Einricht-Teil 8         ,
Einricht-Teil 9         ,
Einricht-Teil 10        ,
Greifposition           ,1335
Grundstellungsposition  ,1475
Ausziehposition         ,1350

[Messprogrammseite 1]
Zyklen,Hub,Mittelpos,Geschw,ZugOG-A1,ZugUG-A1,DruckOG-A1,DruckUG-A1
2,75,1335,0.262,0,0,0,0,4621242,4613528,4200380,4580856
0,4,10,0.005,0,0,1000,0,4621242,4613528,4200380,4580856
0,0,0,0.000,0,0,10000,0,4621242,4613528,4200380,4580856
1,75,1369,0.524,10000,0,10000,0,4621242,4613528,4200380,4580856
0,50,1340,0.050,180,100,630,470,4621242,4613528,4200380,4580856
1,50,1335,0.100,450,330,1140,880,4621242,4613528,4200380,4580856
0,50,1340,0.200,1140,880,1500,1180,4621242,4613528,4200380,4580856
0,50,1340,0.300,1550,1230,1750,1390,4621242,4613528,4200380,4580856
1,75,1335,0.400,1910,1510,1960,1560,4621242,4613528,4200380,4580856
# QSStat

Datum,Uhrzeit,Achse,Bewertung,Nummer,Reibung,Ask,Temp,Barcode,Ventil,ZugV1,DruckV1,ZugV2,DruckV2,ZugV3,DruckV3,ZugV4,DruckV4,ZugV5,DruckV5,ZugV6,DruckV6,ZugV7,DruckV7,ZugV8,DruckV8,ZugV9,DruckV9,ZugV10,DruckV10
28.08.26,06:19:17,A1,NIO,1,0,0,0, ,VE1,2356,1958,   0,   0, 449, 874,   0,   0,   0,   0,1968,1720,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:19:34,A1,IO,2,0,0,0, ,VE1,2132,1994,   0,   0, 400, 884,   0,   0,   0,   0,1764,1743,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:20:00,A1,NIO,3,0,0,0, ,VE1,2459,2007,   0,   0, 475, 934,   0,   0,   0,   0,1980,1793,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:20:16,A1,IO,4,0,0,0, ,VE1,2189,2087,   0,   0, 417, 989,   0,   0,   0,   0,1814,1853,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:20:33,A1,IO,5,0,0,0, ,VE1,2278,2080,   0,   0, 443, 988,   0,   0,   0,   0,1884,1828,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:21:03,A1,NIO,6,0,0,0, ,VE1,2299,2068,   0,   0, 437, 943,   0,   0,   0,   0,1916,1813,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:21:29,A1,NIO,7,0,0,0, ,VE1,2273,2012,   0,   0, 442, 873,   0,   0,   0,   0,1883,1747,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:21:55,A1,NIO,8,0,0,0, ,VE1,2309,2028,   0,   0, 460, 910,   0,   0,   0,   0,1883,1792,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:22:54,A1,NIO,9,0,0,0, ,VE1,2276,1890,   0,   0, 419, 772,   0,   0,   0,   0,1844,1653,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:23:58,A1,IO,10,0,0,0, ,VE1,2126,2021,   0,   0, 431, 919,   0,   0,   0,   0,1732,1751,   0,   0,   0,   0,   0,   0,   0,   0,
28.08.26,06:24:17,A1,IO,11,0,0,0, ,VE1,2203,1989,   0,   0, 442, 913,   0,   0,   0,   0,1796,1774,   0,   0,   0,   0,   0,   0,   0,   0,
